date,day_of_week,meal_type,menu_category,expected_students,holiday,exam_day,actual_diners,prepared_portions,leftover_portions
2026-03-01,Sunday,Breakfast,Standard,506,False,False,258,506,248
2026-03-01,Sunday,Lunch,Standard,506,False,False,324,506,182
2026-03-01,Sunday,Dinner,Standard,506,False,False,284,506,222
2026-03-02,Monday,Breakfast,Standard,494,False,False,336,494,158
2026-03-02,Monday,Lunch,Standard,494,False,False,398,494,96
2026-03-02,Monday,Dinner,Standard,494,False,False,422,494,72
2026-03-03,Tuesday,Breakfast,Biryani / Special,490,False,False,359,490,131
2026-03-03,Tuesday,Lunch,Continental,490,False,False,425,490,65
2026-03-03,Tuesday,Dinner,Biryani / Special,490,False,False,424,490,66
2026-03-04,Wednesday,Breakfast,Standard,488,True,False,212,488,276
2026-03-04,Wednesday,Lunch,Comfort Food,488,True,False,237,488,251
2026-03-04,Wednesday,Dinner,South Indian,488,True,False,244,488,244
2026-03-05,Thursday,Breakfast,Comfort Food,494,False,False,325,494,169
2026-03-05,Thursday,Lunch,Standard,494,False,False,422,494,72
2026-03-05,Thursday,Dinner,Biryani / Special,494,False,False,473,494,21
2026-03-06,Friday,Breakfast,Standard,507,False,False,358,507,149
2026-03-06,Friday,Lunch,Standard,507,False,False,454,507,53
2026-03-06,Friday,Dinner,Standard,507,False,False,410,507,97
2026-03-07,Saturday,Breakfast,Biryani / Special,486,False,False,281,486,205
2026-03-07,Saturday,Lunch,Standard,486,False,False,352,486,134
2026-03-07,Saturday,Dinner,South Indian,486,False,False,339,486,147
2026-03-08,Sunday,Breakfast,Continental,491,False,True,226,491,265
2026-03-08,Sunday,Lunch,South Indian,491,False,True,314,491,177
2026-03-08,Sunday,Dinner,Standard,491,False,True,279,491,212
2026-03-09,Monday,Breakfast,Biryani / Special,508,False,False,404,508,104
2026-03-09,Monday,Lunch,Standard,508,False,False,475,508,33
2026-03-09,Monday,Dinner,Biryani / Special,508,False,False,481,508,27
2026-03-10,Tuesday,Breakfast,Standard,473,False,False,346,473,127
2026-03-10,Tuesday,Lunch,Standard,473,False,False,427,473,46
2026-03-10,Tuesday,Dinner,Standard,473,False,False,382,473,91
2026-03-11,Wednesday,Breakfast,Continental,494,False,False,305,494,189
2026-03-11,Wednesday,Lunch,Standard,494,False,False,441,494,53
2026-03-11,Wednesday,Dinner,Standard,494,False,False,397,494,97
2026-03-12,Thursday,Breakfast,Continental,509,False,False,348,509,161
2026-03-12,Thursday,Lunch,Standard,509,False,False,460,509,49
2026-03-12,Thursday,Dinner,Continental,509,False,False,418,509,91
2026-03-13,Friday,Breakfast,Biryani / Special,497,False,False,383,497,114
2026-03-13,Friday,Lunch,Continental,497,False,False,382,497,115
2026-03-13,Friday,Dinner,Standard,497,False,False,414,497,83
2026-03-14,Saturday,Breakfast,Biryani / Special,498,False,False,312,498,186
2026-03-14,Saturday,Lunch,South Indian,498,False,False,368,498,130
2026-03-14,Saturday,Dinner,Comfort Food,498,False,False,298,498,200
2026-03-15,Sunday,Breakfast,Standard,489,False,False,205,489,284
2026-03-15,Sunday,Lunch,South Indian,489,False,False,286,489,203
2026-03-15,Sunday,Dinner,Standard,489,False,False,261,489,228
2026-03-16,Monday,Breakfast,Comfort Food,499,False,False,307,499,192
2026-03-16,Monday,Lunch,Standard,499,False,False,470,499,29
